,uniq_Op,uniq_Opnd,total_Op,total_Opnd,branchCount,defects
241,15,21,87,50,7,True
242,21,33,98,62,19,True
243,5,8,9,9,1,True
244,4,6,8,6,1,True
246,0,0,0,0,75,True
247,25,23,202,107,25,True
248,24,19,175,89,15,True
249,13,23,64,48,7,True
250,26,18,72,36,7,True
251,13,26,86,60,13,True
252,38,87,683,415,74,True
253,24,32,87,49,13,True
254,9,33,105,87,29,True
255,22,24,186,118,43,True
256,27,34,117,86,23,True
257,0,0,0,0,9,True
258,0,0,0,0,23,True
259,5,4,6,5,1,True
260,0,0,0,0,49,True
261,10,16,33,28,3,True
262,17,22,44,29,4,True
263,0,0,0,0,13,True
264,0,0,0,0,31,True
265,15,13,32,21,7,True
266,16,11,26,16,5,True
267,12,15,94,68,13,True
268,0,0,0,0,1,True
269,9,12,41,25,1,True
270,7,4,18,8,1,True
271,0,0,0,0,23,True
272,22,21,137,94,47,True
273,17,12,45,26,15,True
274,15,76,455,379,9,True
275,16,101,261,225,3,True
276,16,43,135,108,9,True
277,23,24,89,67,15,True
278,0,0,0,0,7,True
279,0,0,0,0,1,True
280,19,87,364,329,17,True
281,16,104,616,570,3,True
282,18,165,691,546,5,True
283,10,56,258,210,1,True
284,26,126,1060,696,187,True
285,15,75,459,383,9,True
286,11,112,792,604,1,True
287,0,0,0,0,45,True
288,14,20,186,131,7,True
289,8,59,294,271,1,True
290,14,62,133,127,3,True
291,12,21,33,28,5,True
292,25,25,99,73,13,True
293,11,17,36,30,3,True
294,11,18,36,30,3,True
295,15,77,458,382,9,True
296,5,32,71,70,1,True
297,6,13,17,15,1,True
298,13,29,61,49,9,True
299,23,43,177,120,51,True
300,24,23,90,64,11,True
301,14,17,89,64,11,True
302,19,162,1118,939,17,True
303,9,31,71,67,3,True
304,0,0,0,0,11,True
305,0,0,0,0,11,True
306,15,75,459,383,9,True
307,15,76,464,388,9,True
308,17,138,820,720,11,True
309,15,76,459,383,9,True
310,15,80,491,406,9,True
311,26,160,966,834,45,True
312,10,58,126,87,5,True
313,14,69,225,197,5,True
314,20,87,373,288,3,True
315,15,60,350,293,13,True
316,15,77,458,382,9,True
317,8,67,190,175,1,True
318,8,10,23,17,3,True
319,22,25,105,65,13,True
320,21,20,69,48,11,True
322,14,22,72,55,19,True
323,11,17,38,30,9,True
324,8,11,16,13,3,True
325,13,32,85,55,1,True
326,15,34,80,59,5,True
327,0,0,0,0,5,True
328,18,70,263,171,5,True
329,13,19,49,37,13,True
330,0,0,0,0,1,True
331,14,22,87,81,7,True
332,15,17,62,45,9,True
333,12,15,37,25,7,True
334,14,13,56,38,7,True
335,24,42,173,123,35,True
336,9,6,19,11,5,True
337,6,1,6,1,1,True
338,18,21,89,48,7,True
339,8,10,15,12,3,True
340,11,11,20,15,5,True
341,13,14,26,20,5,True
342,5,5,8,6,1,True
343,0,0,0,0,1,True
344,12,5,17,8,1,True
345,9,10,16,12,3,True
346,22,24,128,83,15,True
347,5,2,5,3,1,True
348,19,22,128,88,16,True
349,10,14,35,31,9,True
350,8,11,22,19,9,True
351,9,8,19,13,7,True
352,26,33,101,81,13,True
353,17,19,50,44,11,True
354,14,50,177,158,27,True
355,18,27,117,79,9,True
356,29,28,261,173,55,True
357,19,16,152,86,21,True
358,?,?,?,?,?,True
359,12,16,61,49,9,True
360,20,71,226,183,43,True
361,14,20,58,32,5,True
362,12,12,31,19,5,True
363,26,29,148,97,23,True
364,16,14,34,28,7,True
365,0,0,0,0,23,True
366,14,11,37,19,3,True
367,19,16,72,39,15,True
368,0,0,0,0,17,True
369,7,5,10,6,3,True
370,20,31,79,52,23,True
371,33,44,137,103,20,True
372,7,4,8,6,1,True
373,14,16,37,26,11,True
374,3,2,3,2,1,True
375,5,26,61,43,1,True
376,6,33,167,165,3,True
377,19,24,75,38,13,True
378,13,20,46,40,3,True
379,30,175,1080,785,175,True
380,5,12,18,17,1,True
381,5,6,8,7,1,True
382,19,69,375,205,3,True
383,23,39,210,140,31,True
384,7,7,13,10,5,True
385,39,86,896,438,92,True
386,0,0,0,0,3,True
387,0,0,0,0,7,True
388,34,33,321,124,42,True
389,15,19,42,29,7,True
390,18,24,100,84,17,True
391,12,7,15,9,5,True
392,9,8,17,15,5,True
393,6,5,8,5,1,True
394,14,9,25,16,13,True
395,19,13,47,29,11,True
396,18,32,83,65,7,True
397,13,7,19,9,7,True
398,19,68,178,139,27,True
399,25,22,129,69,15,True
400,23,33,240,142,39,True
401,24,43,513,332,91,True
402,19,26,86,56,15,True
403,0,0,0,0,1,True
404,12,13,36,19,9,True
405,9,16,28,22,3,True
406,8,7,16,11,3,True
407,13,27,54,48,9,True
408,8,10,17,13,3,True
409,8,10,20,16,3,True
410,5,4,6,4,1,True
411,10,26,61,49,13,True
412,3,3,3,3,1,True
413,12,8,52,25,3,True
414,3,1,3,1,1,True
416,5,5,6,6,3,True
417,3,1,3,1,1,True
418,18,19,99,55,13,True
419,7,11,15,15,3,True
420,0,0,0,0,11,True
421,16,9,88,37,23,True
422,16,19,71,51,19,True
423,16,12,35,25,19,True
424,14,25,58,43,11,True
425,8,6,11,10,3,True
426,6,6,10,8,3,True
427,7,7,19,12,1,True
428,18,27,88,58,15,True
429,11,14,32,26,7,True
431,9,12,22,19,3,True
433,18,17,51,40,11,True
434,0,0,0,0,9,True
435,24,87,646,445,95,True
436,16,19,69,40,9,True
437,16,37,68,56,9,True
438,12,13,37,27,9,True
439,15,19,85,61,11,True
440,10,16,46,33,7,True
441,0,0,0,0,17,True
442,14,26,64,48,6,True
443,10,21,70,52,3,True
444,11,19,49,36,3,True
445,4,2,4,2,1,True
446,0,0,0,0,9,True
447,13,13,30,24,7,True
448,0,0,0,0,31,True
449,0,0,0,0,3,True
450,0,0,0,0,5,True
451,0,0,0,0,3,True
452,22,36,229,177,95,True
454,5,13,15,15,3,True
455,11,16,23,20,3,True
456,7,10,13,10,3,True
457,14,40,160,141,27,True
458,6,10,17,15,1,True
459,0,0,0,0,15,True
460,17,23,105,59,9,True
461,28,56,332,202,37,True
462,22,25,201,111,35,True
463,21,39,171,99,9,True
464,20,27,158,97,19,True
465,9,7,36,24,3,True
466,10,6,42,28,3,True
467,11,16,58,27,1,True
468,21,54,224,172,18,True
469,16,26,118,68,9,True
470,17,34,96,71,7,True
471,21,24,76,43,8,True
472,20,23,124,81,13,True
473,33,38,177,103,46,True
474,22,49,384,225,91,True
475,25,14,290,101,67,True
476,0,0,0,0,25,True
477,9,7,16,13,3,True
478,0,0,0,0,29,True
479,0,0,0,0,29,True
480,19,17,108,69,17,True
481,11,6,18,12,5,True
482,5,2,5,2,1,True
483,10,7,18,12,3,True
484,14,7,45,29,19,True
486,14,10,64,49,21,True
487,22,11,54,33,15,True
488,15,9,35,23,9,True
489,0,0,0,0,21,True
490,21,12,72,46,17,True
491,18,10,61,24,19,True
492,19,10,62,24,19,True
493,0,0,0,0,33,True
494,17,26,53,36,4,True
495,15,19,94,53,18,True
496,10,10,33,26,3,True
497,9,14,68,42,9,True
498,11,11,54,30,19,True
499,13,16,33,21,6,True
500,18,34,165,80,21,True
501,11,10,33,10,6,True
502,12,13,71,39,25,True
504,10,8,27,13,5,True
505,6,2,6,2,1,True
506,24,31,186,100,52,True
507,16,19,72,47,3,True
508,16,19,79,51,3,True
509,7,6,11,6,3,True
510,9,10,16,12,3,True
511,12,12,26,20,5,True
512,25,40,152,115,24,True
513,26,39,165,121,23,True
514,12,20,36,30,5,True
515,11,22,48,29,1,True
516,14,32,96,64,9,True
517,19,25,84,55,15,True
518,18,14,36,27,5,True
519,0,0,0,0,37,True
520,13,15,40,23,3,True
522,0,0,0,0,11,True
523,0,0,0,0,12,True
524,0,0,0,0,21,True
525,0,0,0,0,15,True
526,0,0,0,0,29,True
527,0,0,0,0,31,True
528,0,0,0,0,31,True
530,0,0,0,0,33,True
531,0,0,0,0,15,True
532,26,73,224,179,43,True
533,0,0,0,0,29,True
534,0,0,0,0,39,True
535,0,0,0,0,33,True
536,0,0,0,0,35,True
537,0,0,0,0,39,True
538,0,0,0,0,35,True
539,13,10,29,18,9,True
540,0,0,0,0,23,True
541,23,65,403,273,59,True
542,20,26,89,53,16,True
543,0,0,0,0,23,True
544,5,2,5,2,1,True
546,11,5,16,6,3,True
548,7,5,22,9,1,True
549,15,7,19,13,7,True
550,6,4,6,4,1,True
551,0,0,0,0,7,True
552,0,0,0,0,19,True
553,0,0,0,0,13,True
554,17,14,44,28,11,True
555,22,14,65,42,11,True
556,7,5,22,9,1,True
557,13,13,30,20,7,True
558,12,11,20,15,5,True
559,18,13,32,21,7,True
560,0,0,0,0,25,True
561,0,0,0,0,3,True
562,0,0,0,0,5,True
565,15,14,41,22,7,True
566,8,12,35,23,9,True
567,13,16,40,17,6,True
568,6,13,31,23,11,True
569,0,0,0,0,23,True
570,16,9,45,28,11,True
571,13,5,26,14,5,True
572,15,7,30,17,5,True
573,24,32,235,129,53,True
574,18,21,91,69,13,True
575,0,0,0,0,29,True
576,0,0,0,0,23,True
577,20,19,151,112,19,True
578,24,18,70,35,19,True
579,7,4,12,7,3,True
580,0,0,0,0,1,True
582,19,9,46,23,15,True
583,0,0,0,0,1,True
584,0,0,0,0,1,True
585,17,20,38,21,6,True
587,19,22,55,46,9,True
588,9,8,39,22,5,True
589,7,7,22,14,1,True
590,9,7,15,9,3,True
591,13,20,143,104,57,True
593,18,21,171,117,33,True
594,10,20,46,39,7,True
595,10,41,69,61,7,True
596,8,20,51,45,5,True
597,8,20,51,45,5,True
598,8,8,13,11,3,True
599,21,46,233,138,41,True
600,17,27,73,45,5,True
601,17,20,83,49,13,True
602,14,16,33,21,5,True
603,19,34,223,143,17,True
604,0,0,0,0,15,True
605,11,9,27,16,7,True
606,0,0,0,0,11,True
607,0,0,0,0,31,True
608,16,49,147,132,9,True
609,20,19,102,48,15,True
610,16,11,43,31,11,True
611,8,7,20,15,5,True
612,6,4,7,4,1,True
613,6,5,8,6,3,True
614,0,0,0,0,37,True
615,0,0,0,0,9,True
616,16,17,92,59,5,True
617,22,14,112,46,10,True
618,5,6,8,7,1,True
619,16,12,48,25,5,True
620,16,17,117,71,7,True
621,6,104,295,291,3,True
622,5,6,12,6,3,True
623,12,41,71,57,5,True
624,8,13,23,24,3,True
625,19,40,285,200,23,True
626,9,11,32,23,5,True
627,10,16,44,30,1,True
628,4,9,16,15,1,True
629,8,54,609,448,65,True
630,22,30,136,76,29,True
631,20,21,135,76,17,True
632,4,69,78,77,1,True
633,4,50,60,58,1,True
634,4,66,70,67,1,True
635,7,49,61,57,3,True
636,14,23,56,46,13,True
637,9,8,14,11,3,True
638,24,17,88,59,17,True
639,0,0,0,0,19,True
640,11,14,39,24,5,True
641,8,10,28,18,5,True
642,7,5,10,7,1,True
643,11,24,49,39,5,True
644,0,0,0,0,28,True
645,16,25,71,57,21,True
646,11,13,57,46,13,True
647,14,16,27,19,7,True
648,16,14,63,43,17,True
649,14,10,19,12,3,True
650,17,21,54,39,19,True
651,14,10,19,12,3,True
653,14,10,55,35,19,True
654,19,8,32,20,7,True
655,19,35,112,73,43,True
656,16,8,25,15,5,True
657,8,5,10,6,3,True
658,17,14,38,26,9,True
659,21,42,158,94,29,True
660,14,22,109,69,15,True
661,12,21,91,56,11,True
662,10,28,62,51,3,True
663,20,33,77,62,13,True
664,26,51,297,188,19,True
665,23,85,320,221,25,True
666,14,10,28,21,5,True
667,16,13,62,45,17,True
668,6,8,15,12,3,True
669,14,17,36,31,9,True
670,27,63,297,178,26,True
671,20,23,87,62,13,True
672,16,85,209,183,37,True
673,18,37,107,87,5,True
674,20,38,213,139,17,True
675,0,0,0,0,5,True
676,12,17,41,25,15,True
677,23,15,314,148,65,True
678,23,22,153,99,13,True
679,17,13,44,25,7,True
680,15,17,32,18,10,True
681,13,35,156,110,29,True
682,5,5,10,7,3,True
684,7,4,9,4,1,True
685,17,17,98,38,39,True
686,7,3,8,4,3,True
687,14,6,23,12,9,True
688,14,10,50,24,1,True
689,15,34,114,77,27,True
690,20,54,186,155,9,True
691,11,8,37,22,3,True
692,23,32,195,152,25,True
693,45,95,701,418,144,True
694,27,60,373,264,45,True
695,15,26,56,47,7,True
696,15,26,56,47,7,True
697,21,14,127,67,29,True
698,18,24,163,83,37,True
699,20,13,66,39,11,True
700,26,21,114,68,19,True
701,13,25,56,45,5,True
702,11,11,18,11,3,True
703,11,12,20,13,3,True
704,16,31,84,62,9,True
705,0,0,0,0,5,True
706,8,9,13,10,3,True
707,7,18,34,32,11,True
708,13,31,81,76,11,True
709,0,0,0,0,3,True
710,19,21,72,44,13,True
711,8,12,19,16,3,True
713,8,13,24,21,5,True
715,0,0,0,0,21,True
716,7,11,18,12,3,True
717,22,57,1042,452,233,True
718,15,20,55,52,13,True
719,18,17,107,44,11,True
720,0,0,0,0,21,True
721,15,42,87,81,5,True
722,0,0,0,0,19,True
723,26,38,137,102,17,True
724,11,17,26,21,3,True
725,0,0,0,0,13,True
726,19,42,133,104,5,True
727,23,43,157,95,7,True
728,25,74,296,196,53,True
729,22,28,333,141,31,True
730,18,30,57,49,9,True
731,10,11,50,27,5,True
732,10,6,17,13,5,True
733,0,0,0,0,21,True
734,20,34,152,81,21,True
735,20,36,124,89,23,True
736,17,13,61,45,15,True
737,10,9,20,13,7,True
738,22,29,252,167,19,True
739,7,15,24,21,3,True
740,21,39,127,89,23,True
741,7,14,21,18,3,True
742,11,33,56,46,3,True
743,16,95,982,632,169,True
744,12,14,51,36,5,True
745,0,0,0,0,3,True
746,17,15,86,50,23,True
747,0,0,0,0,1,True
748,0,0,0,0,11,True
749,0,0,0,0,35,True
750,24,47,324,217,39,True
751,20,44,170,129,43,True
752,31,112,446,277,86,True
753,25,48,187,146,29,True
754,26,46,163,102,9,True
755,16,36,77,64,9,True
756,27,54,248,157,31,True
757,20,23,71,48,15,True
758,11,19,44,36,9,True
759,18,21,84,56,15,True
760,7,14,27,25,3,True
761,31,94,625,360,55,True
762,0,0,0,0,25,True
763,14,22,59,45,3,True
764,14,17,61,37,9,True
765,13,16,51,39,5,True
766,17,27,95,65,11,True
767,16,18,137,85,13,True
768,12,14,73,44,5,True
769,26,34,786,561,133,True
770,20,34,204,111,27,True
772,0,0,0,0,5,True
773,26,66,427,267,127,True
774,0,0,0,0,5,True
775,13,21,69,52,11,True
776,20,34,101,81,19,True
777,0,0,0,0,13,True
778,0,0,0,0,71,True
779,0,0,0,0,5,True
780,17,41,130,103,47,True
781,12,13,28,21,7,True
782,25,46,198,140,41,True
783,7,5,9,5,3,True
785,12,19,45,34,3,True
786,0,0,0,0,3,True
787,0,0,0,0,3,True
788,0,0,0,0,3,True
789,0,0,0,0,21,True
792,0,0,0,0,33,True
793,0,0,0,0,25,True
794,0,0,0,0,101,True
795,11,12,26,19,7,True
796,19,62,603,355,221,True
797,0,0,0,0,9,True
798,8,26,41,38,3,True
799,12,22,40,40,9,True
800,11,9,26,18,9,True
801,21,17,115,64,33,True
802,14,8,25,14,5,True
803,5,6,9,7,1,True
804,18,23,55,38,13,True
806,9,6,15,9,3,True
807,0,0,0,0,33,True
809,20,71,512,364,99,True
810,8,38,109,91,11,True
812,58,102,374,237,48,True
813,12,25,86,69,9,True
814,30,94,411,314,101,True
815,29,88,437,330,109,True
817,16,14,32,23,9,True
818,22,26,89,65,23,True
820,13,36,68,57,7,True
822,28,71,529,337,61,True
823,20,40,172,127,33,True
824,17,56,250,202,27,True
825,12,19,36,23,3,True
826,6,5,8,5,3,True
827,12,12,28,21,7,True
828,12,11,25,17,5,True
829,6,9,19,13,1,True
830,5,6,11,8,1,True
832,7,5,9,6,1,True
833,12,10,33,23,5,True
836,25,63,269,198,57,True
837,21,26,132,82,27,True
838,17,25,100,71,7,True
840,9,12,26,19,9,True
841,7,7,10,7,3,True
845,22,25,84,63,17,True
846,13,26,55,47,5,True
847,10,77,472,466,3,True
848,28,147,495,403,71,True
849,20,68,228,195,49,True
850,16,58,98,95,11,True
851,18,33,128,108,25,True
852,18,17,60,49,23,True
853,12,10,22,14,5,True
854,22,60,856,613,159,True
855,15,27,93,68,25,True
856,18,13,44,21,9,True
857,16,14,37,21,5,True
858,19,27,103,59,7,True
859,0,0,0,0,3,True
860,0,0,0,0,1,True
861,5,3,6,3,1,True
862,19,14,54,36,7,True
863,13,14,37,27,5,True
864,18,11,56,31,11,True
866,15,12,31,17,13,True
867,13,20,50,33,8,True
868,0,0,0,0,3,True
869,13,6,23,15,7,True
870,22,17,143,79,25,True
871,4,6,8,6,1,True
872,6,4,10,4,3,True
873,11,13,36,20,5,True
874,5,5,8,5,1,True
875,6,4,7,5,3,True
876,17,25,56,37,15,True
877,19,12,32,22,9,True
878,8,11,13,12,3,True
879,21,21,70,46,19,True
880,23,71,962,682,189,True
881,13,13,59,36,9,True
882,0,0,0,0,13,True
883,0,0,0,0,23,True
884,3,1,3,1,1,True
885,8,34,111,93,31,True
886,6,5,11,8,1,True
887,6,33,81,63,31,True
888,0,0,0,0,31,True
889,11,12,59,32,1,True
890,13,8,23,18,5,True
891,29,23,1031,265,63,True
892,20,36,105,82,33,True
893,0,0,0,0,9,True
894,25,31,151,74,21,True
895,12,25,41,31,5,True
896,9,18,47,46,5,True
897,37,40,88,67,16,True
898,19,33,124,106,27,True
899,22,42,196,171,43,True
900,21,23,78,58,21,True
901,18,25,113,89,17,True
902,26,40,274,184,42,True
903,12,16,35,33,5,True
904,19,41,144,122,21,True
905,11,11,30,32,9,True
906,12,11,30,23,5,True
907,9,13,19,17,11,True
908,13,8,34,20,5,True
909,14,30,113,87,17,True
910,27,38,221,138,22,True
911,27,37,218,136,22,True
912,23,25,138,94,19,True
913,23,25,147,97,19,True
914,12,12,20,15,3,True
915,22,22,71,47,17,True
916,18,18,72,49,9,True
917,0,0,0,0,3,True
918,23,31,153,96,37,True
919,0,0,0,0,49,True
920,23,27,143,89,14,True
921,11,5,14,7,5,True
922,22,52,204,192,29,True
923,21,22,119,77,23,True
924,0,0,0,0,9,True
925,15,18,58,29,7,True
926,0,0,0,0,5,True
927,25,27,103,74,19,True
928,15,17,44,29,9,True
929,6,5,7,5,1,True
930,13,15,39,25,3,True
931,12,13,39,19,5,True
932,9,7,15,9,1,True
933,16,26,351,162,37,True
934,0,0,0,0,11,True
936,15,10,32,14,5,True
937,13,8,22,11,5,True
938,0,0,0,0,1,True
939,21,13,94,36,13,True
940,20,34,115,69,27,True
941,20,62,341,206,83,True
942,22,46,171,96,37,True
943,12,12,35,18,5,True
944,19,35,134,80,7,True
945,14,32,82,56,1,True
946,11,12,139,76,25,True
947,26,40,170,105,21,True
948,13,9,29,12,5,True
949,11,14,30,21,7,True
950,11,8,23,11,3,True
951,11,9,28,11,5,True
952,10,25,137,67,1,True
953,13,16,60,32,3,True
954,21,13,94,36,13,True
955,12,10,29,13,5,True
956,9,20,51,46,13,True
957,9,9,24,11,1,True
958,15,18,45,37,5,True
959,15,19,47,37,5,True
960,11,19,43,36,3,True
961,22,28,149,78,17,True
962,13,9,29,13,5,True
963,11,9,25,11,5,True
967,12,8,24,10,5,True
968,15,12,48,19,9,True
969,0,0,0,0,3,True
970,11,14,22,17,1,True
971,14,11,35,17,5,True
972,17,25,76,58,5,True
973,11,25,62,38,1,True
974,8,5,11,7,3,True
975,12,22,57,40,5,True
976,9,12,27,20,5,True
977,6,3,8,4,3,True
978,12,9,44,33,19,True
979,11,10,26,15,7,True
980,13,24,53,42,13,True
981,16,14,113,71,13,True
982,12,8,46,27,5,True
983,4,4,6,4,1,True
984,12,21,42,38,9,True
985,0,0,0,0,55,True
986,0,0,0,0,49,True
987,13,8,34,19,5,True
988,12,22,40,37,5,True
989,24,117,317,247,51,True
990,0,0,0,0,42,True
991,30,87,268,219,43,True
992,6,14,24,22,3,True
993,12,13,30,22,5,True
994,23,44,328,227,73,True
995,18,21,117,70,7,True
996,9,11,24,21,3,True
997,21,30,100,66,11,True
1003,20,21,87,44,13,True
1004,22,38,673,508,63,True
1006,11,18,58,40,1,True
1007,6,4,7,5,1,True
1008,12,17,47,33,1,True
1009,9,7,20,10,1,True
1010,9,18,48,36,3,True
1011,17,25,67,52,13,True
1012,23,33,145,90,17,True
1013,23,32,145,90,17,True
1014,3,4,7,6,1,True
1015,7,12,26,18,1,True
1016,12,16,31,26,3,True
1017,20,26,61,50,13,True
1018,17,28,132,105,33,True
1019,10,19,30,26,5,True
1021,1,0,1,0,1,True
1022,6,7,29,16,1,True
1023,15,32,167,140,9,True
1024,15,8,45,27,7,True
1025,4,5,10,5,3,True
1026,24,38,116,95,25,True
1028,8,8,29,22,3,True
1029,7,17,37,31,3,True
1030,18,28,73,65,11,True
1031,29,64,295,239,45,True
1032,7,4,7,4,1,True
1033,6,6,13,10,3,True
1034,14,19,70,56,9,True
1035,30,58,474,393,89,True
1036,4,11,14,13,1,True
1037,13,15,54,34,11,True
1038,25,26,106,85,23,True
1039,7,3,21,8,3,True
1040,7,5,10,10,3,True
1041,5,8,14,12,3,True
1042,19,33,93,82,13,True
1043,17,16,41,26,9,True
1044,0,0,0,0,47,True
1045,26,46,247,164,43,True
1046,17,84,207,182,21,True
1047,17,25,106,58,17,True
1048,16,33,171,143,11,True
